Site,"_ 
(On pred)","p
(On pred)","padj
On pred","_ 
(OT pred)","p
(OT pred)","padj
OT pred"
HBB R03 HBD OT,-0.014018548,0.845195286,1,-0.008813013,0.760506264,1
VEGFA sgRNA 1 OT1,6.07E-04,0.402870547,1,6.61E-04,0.094245764,1
VEGFA sgRNA 1 OT6,-1.95E-04,0.52390708,1,0.025075223,0.209486483,1
VEGFA sgRNA 2 OT1,-0.044879865,0.912271607,1,0.0832077,0.123677002,1
VEGFA sgRNA 2 OT2,-0.01844779,0.75001671,1,-9.37E-04,0.682994319,1
VEGFA sgRNA 2 OT17,0.015419569,0.305984892,1,0.008313597,0.218215188,1
VEGFA sgRNA 3 OT4,-0.006823776,0.906516892,1,0,1,1
VEGFA sgRNA 3 OT18,-3.27E-04,0.512995709,1,0.001690564,0.319144002,1
ZSCAN2 sgRNA 1 OT1,-3.87E-04,0.788675135,1,0,1,1
ZSCAN2 sgRNA 1 OT2,3.15E-05,0.4792889,1,0.001007656,0.092270476,1
VEGFA sgRNA 3 OT2,0.039805814,0.405537374,1,0.080356987,0.049915892,1
