Experiment,Site,Date,Sample,Name,Cas9,X_lab,Indel_stringent,Indel,Reads_low_phred,Reads_no_nmer,Reads_passing,Total_indel_stringent,Total_indel,X_order
1,FANCFg2 ON,08.24.17,082417_NT_3_FANCFg2_ON_S198_R1_001.fastqwtf-difflib_indels.csv,NT_3,WT, - - -,0.014882429,0.029764858,16818,2053,20158,3,6,9
1,FANCFg2 ON,08.24.17,082417_E_1_FANCFg2_ON_S169_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_ECas9_GFP_1,ECas9, E + -,23.06509482,23.06509482,11729,2676,15608,3600,3600,3
1,FANCFg2 ON,08.24.17,082417_E_2_FANCFg2_ON_S170_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_ECas9_GFP_2,ECas9, E + -,23.65940116,23.6820273,14748,2682,13259,3137,3140,3
1,FANCFg2 ON,08.24.17,082417_E_3_FANCFg2_ON_S171_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_ECas9_GFP_3,ECas9, E + -,23.01690507,23.03315995,14855,21747,12304,2832,2834,3
1,FANCFg2 ON,08.24.17,082417_E_d2_1_1_FANCFg2_ON_S172_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_ECas9_d1_1-1_1,ECas9, E + 1,17.07364593,17.11910638,15941,6973,15398,2629,2636,4
1,FANCFg2 ON,08.24.17,082417_E_d2_1_2_FANCFg2_ON_S173_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_ECas9_d1_1-1_2,ECas9, E + 1,14.99974934,15.02481576,12777,3750,19947,2992,2997,4
1,FANCFg2 ON,08.24.17,082417_E_d2_1_3_FANCFg2_ON_S174_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_ECas9_d1_1-1_3,ECas9, E + 1,14.53443833,14.5414026,15832,9842,14359,2087,2088,4
1,FANCFg2 ON,08.24.17,082417_E_d2_4_1_FANCFg2_ON_S175_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_ECas9_d1_1-4_1,ECas9, E + 4,18.7165422,18.72315115,15681,8959,15131,2832,2833,
1,FANCFg2 ON,08.24.17,082417_E_d2_4_2_FANCFg2_ON_S176_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_ECas9_d1_1-4_2,ECas9, E + 4,20.18870543,20.23033162,11096,1474,7207,1455,1458,
1,FANCFg2 ON,08.24.17,082417_E_d2_4_3_FANCFg2_ON_S177_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_ECas9_d1_1-4_3,ECas9, E + 4,18.38115232,18.38892777,11571,2373,12861,2364,2365,
1,FANCFg2 ON,08.24.17,082417_NT_1_FANCFg2_ON_S196_R1_001.fastqwtf-difflib_indels.csv,NT_1,ECas9, - - -,0.060338444,0.065823757,14321,3364,36461,22,24,9
1,FANCFg2 ON,08.24.17,082417_NT_2_FANCFg2_ON_S197_R1_001.fastqwtf-difflib_indels.csv,NT_2,ECas9, - - -,0.013463027,0.026926054,13344,2621,29711,4,8,9
1,FANCFg2 ON,08.24.17,082417_NT_3_FANCFg2_ON_S198_R1_001.fastqwtf-difflib_indels.csv,NT_3,ECas9, - - -,0.014882429,0.029764858,16818,2053,20158,3,6,9
1,FANCFg2 ON,08.24.17,082417_H_1_FANCFg2_ON_S187_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_HF1_GFP_1,HF1, HF1 + -,3.157026062,3.158945227,1832,2193,52106,1645,1646,5
1,FANCFg2 ON,08.24.17,082417_H_2_FANCFg2_ON_S188_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_HF1_GFP_2,HF1, HF1 + -,2.512473272,2.516037063,10818,2243,28060,705,706,5
1,FANCFg2 ON,08.24.17,082417_H_3_FANCFg2_ON_S189_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_HF1_GFP_3,HF1, HF1 + -,3.055466214,3.064237888,15643,3312,34201,1045,1048,5
1,FANCFg2 ON,08.24.17,082417_H_d2_1_1_FANCFg2_ON_S190_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_HF1_d1_1-1_1,HF1, HF1 + 1,7.254205896,7.285074857,6094,610,6479,470,472,6
1,FANCFg2 ON,08.24.17,082417_H_d2_1_2_FANCFg2_ON_S191_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_HF1_d1_1-1_2,HF1, HF1 + 1,6.78543819,6.831119545,15226,3304,28458,1931,1944,6
1,FANCFg2 ON,08.24.17,082417_H_d2_1_3_FANCFg2_ON_S192_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_HF1_d1_1-1_3,HF1, HF1 + 1,7.080861901,7.097617372,16475,3154,29841,2113,2118,6
1,FANCFg2 ON,08.24.17,082417_H_d2_4_1_FANCFg2_ON_S193_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_HF1_d1_1-4_1,HF1, HF1 + 4,5.926404623,5.934007451,9741,2512,26306,1559,1561,
1,FANCFg2 ON,08.24.17,082417_H_d2_4_2_FANCFg2_ON_S194_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_HF1_d1_1-4_2,HF1, HF1 + 4,5.812718764,5.816651591,863,1171,25427,1478,1479,
1,FANCFg2 ON,08.24.17,082417_H_d2_4_3_FANCFg2_ON_S195_R1_001.fastqwtf-difflib_indels.csv,FANCFg2_HF1_d1_1-4_3,HF1, HF1 + 4,4.952113992,4.987152534,11214,905,8562,424,427,
1,FANCFg2 ON,08.24.17,082417_NT_1_FANCFg2_ON_S196_R1_001.fastqwtf-difflib_indels.csv,NT_1,HF1, - - -,0.060338444,0.065823757,14321,3364,36461,22,24,9
1,FANCFg2 ON,08.24.17,082417_NT_2_FANCFg2_ON_S197_R1_001.fastqwtf-difflib_indels.csv,NT_2,HF1, - - -,0.013463027,0.026926054,13344,2621,29711,4,8,9
1,FANCFg2 ON,08.24.17,082417_NT_3_FANCFg2_ON_S198_R1_001.fastqwtf-difflib_indels.csv,NT_3,HF1, - - -,0.014882429,0.029764858,16818,2053,20158,3,6,9
1,FANCFg2 ON,11.15.17,NP_17115_HypaF_GFP_1_FANCFg2_ON_S769_pear.fastq.assembled.fastqwtf-difflib_indels.csv,FANCFg2_Hypa_GFP_1,Hypa,Hypa + -,5.414755813,5.416767238,9,4910,99432,5384,5386,7
1,FANCFg2 ON,11.15.17,NP_17115_HypaF_GFP_2_FANCFg2_ON_S770_pear.fastq.assembled.fastqwtf-difflib_indels.csv,FANCFg2_Hypa_GFP_2,Hypa,Hypa + -,6.05107861,6.05107861,15,6651,121499,7352,7352,7
1,FANCFg2 ON,11.15.17,NP_17115_HypaF_GFP_3_FANCFg2_ON_S771_pear.fastq.assembled.fastqwtf-difflib_indels.csv,FANCFg2_Hypa_GFP_3,Hypa,Hypa + -,6.584543048,6.595055381,11,3465,104639,6890,6901,7
1,FANCFg2 ON,11.15.17,NP_17115_HypaF_d1-1_1_FANCFg2_ON_S772_pear.fastq.assembled.fastqwtf-difflib_indels.csv,FANCFg2_Hypa_d1_1-1_1,Hypa,Hypa + 1,4.762882365,4.779306097,15,7335,146130,6960,6984,8
1,FANCFg2 ON,11.15.17,NP_17115_HypaF_d1-1_2_FANCFg2_ON_S773_pear.fastq.assembled.fastqwtf-difflib_indels.csv,FANCFg2_Hypa_d1_1-1_2,Hypa,Hypa + 1,4.39305201,4.397056615,14,3904,99885,4388,4392,8
1,FANCFg2 ON,11.15.17,NP_17115_HypaF_d1-1_3_FANCFg2_ON_S774_pear.fastq.assembled.fastqwtf-difflib_indels.csv,FANCFg2_Hypa_d1_1-1_3,Hypa,Hypa + 1,4.178656324,4.179907419,6,2582,79930,3340,3341,8
1,FANCFg2 ON,11.15.17,NP_17115_HypaF_d1-4_1_FANCFg2_ON_S775_pear.fastq.assembled.fastqwtf-difflib_indels.csv,FANCFg2_Hypa_d1_1-4_1,Hypa,Hypa + 4,1.715424653,1.722036972,10,4782,105863,1816,1823,
