Experiment,Site,Date,Sample,Name,Cas9,X_lab,Indel_stringent,Indel,Reads_low_phred,Reads_no_nmer,Reads_passing,Total_indel_stringent,Total_indel,X_order
2,VEGFAg3 ON,08.09.17,080917_E_d2_4_1_VEGFg3_ON_S370_R1_001.fastqwtf-difflib_indels.csv,VEGFg3_ECas9_d1_1-4_1,ECas9, E + 4,26.67591308,26.75296656,3489,522,6489,1731,1736,
2,VEGFAg3 ON,08.09.17,080917_E_d2_4_2_VEGFg3_ON_S371_R1_001.fastqwtf-difflib_indels.csv,VEGFg3_ECas9_d1_1-4_2,ECas9, E + 4,27.64705882,27.65882353,4528,540,8500,2350,2351,
2,VEGFAg3 ON,08.09.17,080917_E_d2_4_3_VEGFg3_ON_S372_R1_001.fastqwtf-difflib_indels.csv,VEGFg3_ECas9_d1_1-4_3,ECas9, E + 4,28.42354971,28.44511538,2825,405,4637,1318,1319,
2,VEGFAg3 ON,08.09.17,080917_H_1_VEGFg3_ON_S382_R1_001.fastqwtf-difflib_indels.csv,VEGFg3_HF1_GFP_1,HF1, HF1 + -,9.548954895,9.658965897,2612,402,4545,434,439,5
2,VEGFAg3 ON,08.09.17,080917_H_2_VEGFg3_ON_S383_R1_001.fastqwtf-difflib_indels.csv,VEGFg3_HF1_GFP_2,HF1, HF1 + -,11.77125056,11.77125056,3015,431,4494,529,529,5
2,VEGFAg3 ON,08.09.17,080917_H_3_VEGFg3_ON_S384_R1_001.fastqwtf-difflib_indels.csv,VEGFg3_HF1_GFP_3,HF1, HF1 + -,10.02928258,10.02928258,1764,284,2732,274,274,5
2,VEGFAg3 ON,08.09.17,080917_H_d2_1_1_VEGFg3_ON_S385_R1_001.fastqwtf-difflib_indels.csv,VEGFg3_HF1_d1_1-1_1,HF1, HF1 + 1,5.57957958,5.585585586,9652,1172,16650,929,930,6
2,VEGFAg3 ON,08.09.17,080917_H_d2_1_2_VEGFg3_ON_S386_R1_001.fastqwtf-difflib_indels.csv,VEGFg3_HF1_d1_1-1_2,HF1, HF1 + 1,8.035810592,8.057383238,5213,584,9271,745,747,6
2,VEGFAg3 ON,08.09.17,080917_H_d2_1_3_VEGFg3_ON_S387_R1_001.fastqwtf-difflib_indels.csv,VEGFg3_HF1_d1_1-1_3,HF1, HF1 + 1,6.397960422,6.404030594,9712,1097,16474,1054,1055,6
2,VEGFAg3 ON,08.09.17,080917_H_d2_4_1_VEGFg3_ON_S388_R1_001.fastqwtf-difflib_indels.csv,VEGFg3_HF1_d1_1-4_1,HF1, HF1 + 4,2.623211447,2.662957075,1397,339,2516,66,67,
2,VEGFAg3 ON,08.09.17,080917_H_d2_4_2_VEGFg3_ON_S389_R1_001.fastqwtf-difflib_indels.csv,VEGFg3_HF1_d1_1-4_2,HF1, HF1 + 4,3.020723569,3.055848261,1517,240,2847,86,87,
2,VEGFAg3 ON,08.09.17,080917_H_d2_4_3_VEGFg3_ON_S390_R1_001.fastqwtf-difflib_indels.csv,VEGFg3_HF1_d1_1-4_3,HF1, HF1 + 4,2.718589273,2.718589273,2689,338,4083,111,111,
2,VEGFAg3 ON,08.09.17,080917_NT_1_VEGFg3_ON_S391_R1_001.fastqwtf-difflib_indels.csv,NT_1,WT, - - -,0.214921707,0.245624808,2038,374,3257,7,8,7
2,VEGFAg3 ON,08.09.17,080917_NT_2_VEGFg3_ON_S392_R1_001.fastqwtf-difflib_indels.csv,NT_2,WT, - - -,0.149031297,0.186289121,3369,414,5368,8,10,7
2,VEGFAg3 ON,08.09.17,080917_NT_3_VEGFg3_ON_S393_R1_001.fastqwtf-difflib_indels.csv,NT_3,WT, - - -,0.028409091,0.042613636,4085,442,7040,2,3,7
2,VEGFAg3 ON,08.09.17,080917_NT_1_VEGFg3_ON_S391_R1_001.fastqwtf-difflib_indels.csv,NT_1,ECas9, - - -,0.214921707,0.245624808,2038,374,3257,7,8,7
2,VEGFAg3 ON,08.09.17,080917_NT_2_VEGFg3_ON_S392_R1_001.fastqwtf-difflib_indels.csv,NT_2,ECas9, - - -,0.149031297,0.186289121,3369,414,5368,8,10,7
2,VEGFAg3 ON,08.09.17,080917_NT_3_VEGFg3_ON_S393_R1_001.fastqwtf-difflib_indels.csv,NT_3,ECas9, - - -,0.028409091,0.042613636,4085,442,7040,2,3,7
2,VEGFAg3 ON,08.09.17,080917_NT_1_VEGFg3_ON_S391_R1_001.fastqwtf-difflib_indels.csv,NT_1,HF1, - - -,0.214921707,0.245624808,2038,374,3257,7,8,7
