Experiment,Site,Date,Sample,Name,X_lab,Indel_stringent,Indel,Reads_low_phred,Reads_no_nmer,Reads_passing,Total_indel_stringent,Total_indel
9,ZSCAN2g1 OT2,02.08.18,NP_180208_Z_dnon_2_ZSCAN2g1_OT2_S143_R1_001.fastqwtf-difflib_indels.csv,ZSCAN2g1_dNT_2, + + dNT,1.086946861,1.089613125,4305,13701,112517,1223,1226
9,ZSCAN2g1 OT2,02.08.18,NP_180208_Z_dnon_3_ZSCAN2g1_OT2_S144_R1_001.fastqwtf-difflib_indels.csv,ZSCAN2g1_dNT_3, + + dNT,0.959658498,0.959658498,2341,6209,61376,589,589
9,ZSCAN2g1 OT2,02.08.18,NP_180208_NT_1_ZSCAN2g1_OT2_S145_R1_001.fastqwtf-difflib_indels.csv,NT_1, - - -,0.001248751,0.003746254,6871,6789,80080,1,3
9,ZSCAN2g1 OT2,02.08.18,NP_180208_NT_2_ZSCAN2g1_OT2_S146_R1_001.fastqwtf-difflib_indels.csv,NT_2, - - -,0.012320835,0.012320835,2791,4948,48698,6,6
9,ZSCAN2g1 OT2,02.08.18,NP_180208_NT_3_ZSCAN2g1_OT2_S147_R1_001.fastqwtf-difflib_indels.csv,NT_3, - - -,0.001053408,0.003160223,5625,8610,94930,1,3
10,VEGFAg1 ON,03.20.18,NP_180320_V1_GFP_1_VEGFg1_ON_S726_R1_001.fastqwtf-difflib_indels.csv,VEGFAg1_GFP_1, + + -,13.26116373,13.28049488,112119,1558,5173,686,687
10,VEGFAg1 ON,03.20.18,NP_180320_V1_GFP_2_VEGFg1_ON_S727_R1_001.fastqwtf-difflib_indels.csv,VEGFAg1_GFP_2, + + -,10.20968058,10.2292769,103887,2343,5103,521,522
10,VEGFAg1 ON,03.20.18,NP_180320_V1_GFP_3_VEGFg1_ON_S728_R1_001.fastqwtf-difflib_indels.csv,VEGFAg1_GFP_3, + + -,5.43100116,5.43100116,87394,2195,5174,281,281
10,VEGFAg1 ON,03.20.18,NP_180320_V1_d1_1_VEGFg1_ON_S729_R1_001.fastqwtf-difflib_indels.csv,VEGFAg1_OT1d2_1, + + 2,8.824768324,8.845829823,74031,2581,4748,419,420
10,VEGFAg1 ON,03.20.18,NP_180320_V1_d1_2_VEGFg1_ON_S730_R1_001.fastqwtf-difflib_indels.csv,VEGFAg1_OT1d2_2, + + 2,10.44978435,10.47443007,112797,3350,8115,848,850
10,VEGFAg1 ON,03.20.18,NP_180320_V1_d1_3_VEGFg1_ON_S731_R1_001.fastqwtf-difflib_indels.csv,VEGFAg1_OT1d2_3, + + 2,5.606150207,5.606150207,111759,2732,8455,474,474
10,VEGFAg1 ON,03.20.18,NP_180320_V1_dnon_1_VEGFg1_ON_S738_R1_001.fastqwtf-difflib_indels.csv,VEGFAg1_dNT_1, + + dNT,5.082095387,5.082095387,62032,1429,3837,195,195
10,VEGFAg1 ON,03.20.18,NP_180320_V1_dnon_2_VEGFg1_ON_S739_R1_001.fastqwtf-difflib_indels.csv,VEGFAg1_dNT_2, + + dNT,7.024793388,7.041322314,93597,2182,6050,425,426
10,VEGFAg1 ON,03.20.18,NP_180320_V1_dnon_3_VEGFg1_ON_S740_R1_001.fastqwtf-difflib_indels.csv,VEGFAg1_dNT_3, + + dNT,11.51854154,11.60140874,83091,1761,4827,556,560
10,VEGFAg1 ON,03.20.18,NP_180320_NT_1_VEGFg1_ON_S741_R1_001.fastqwtf-difflib_indels.csv,NT_1, - - -,0,0,93519,1881,5524,0,0
10,VEGFAg1 ON,03.20.18,NP_180320_NT_2_VEGFg1_ON_S742_R1_001.fastqwtf-difflib_indels.csv,NT_2, - - -,0,0.022665458,141146,2854,8824,0,2
10,VEGFAg1 ON,03.20.18,NP_180320_NT_3_VEGFg1_ON_S743_R1_001.fastqwtf-difflib_indels.csv,NT_3, - - -,0,0,125437,2096,4887,0,0
10,VEGFAg1 OT1,03.20.18,NP_180320_V1_GFP_1_VEGFg1_OT1_S744_R1_001.fastqwtf-difflib_indels.csv,VEGFAg1_GFP_1, + + -,7.832470341,7.832470341,24662,1457,15257,1195,1195
10,VEGFAg1 OT1,03.20.18,NP_180320_V1_GFP_2_VEGFg1_OT1_S745_R1_001.fastqwtf-difflib_indels.csv,VEGFAg1_GFP_2, + + -,4.78238901,4.791948325,118465,5505,73227,3502,3509
10,VEGFAg1 OT1,03.20.18,NP_180320_V1_GFP_3_VEGFg1_OT1_S746_R1_001.fastqwtf-difflib_indels.csv,VEGFAg1_GFP_3, + + -,4.061472367,4.084014002,124196,5796,75416,3063,3080
10,VEGFAg1 OT1,03.20.18,NP_180320_V1_d1_1_VEGFg1_OT1_S747_R1_001.fastqwtf-difflib_indels.csv,VEGFAg1_OT1d2_1, + + 2,0.49356067,0.509325508,119511,5785,82462,407,420
10,VEGFAg1 OT1,03.20.18,NP_180320_V1_d1_2_VEGFg1_OT1_S748_R1_001.fastqwtf-difflib_indels.csv,VEGFAg1_OT1d2_2, + + 2,0.447296216,0.454441523,110754,5433,69976,313,318
10,VEGFAg1 OT1,03.20.18,NP_180320_V1_d1_3_VEGFg1_OT1_S749_R1_001.fastqwtf-difflib_indels.csv,VEGFAg1_OT1d2_3, + + 2,0.25228966,0.261487721,124135,5699,76103,192,199
10,VEGFAg1 OT1,03.20.18,NP_180320_V1_dnon_1_VEGFg1_OT1_S750_R1_001.fastqwtf-difflib_indels.csv,VEGFAg1_dNT_1, + + dNT,8.018341613,8.03974016,106656,4910,65425,5246,5260
10,VEGFAg1 OT1,03.20.18,NP_180320_V1_dnon_2_VEGFg1_OT1_S751_R1_001.fastqwtf-difflib_indels.csv,VEGFAg1_dNT_2, + + dNT,7.753089541,7.805240368,109432,4924,63278,4906,4939
10,VEGFAg1 OT1,03.20.18,NP_180320_V1_dnon_3_VEGFg1_OT1_S752_R1_001.fastqwtf-difflib_indels.csv,VEGFAg1_dNT_3, + + dNT,8.956423862,8.971266714,125658,5309,80847,7241,7253
10,VEGFAg1 OT1,03.20.18,NP_180320_NT_1_VEGFg1_OT1_S753_R1_001.fastqwtf-difflib_indels.csv,NT_1, - - -,0.002948548,0.008845644,114586,5038,67830,2,6
10,VEGFAg1 OT1,03.20.18,NP_180320_NT_2_VEGFg1_OT1_S754_R1_001.fastqwtf-difflib_indels.csv,NT_2, - - -,0.004666356,0.006221807,105038,4450,64290,3,4
10,VEGFAg1 OT1,03.20.18,NP_180320_NT_3_VEGFg1_OT1_S755_R1_001.fastqwtf-difflib_indels.csv,NT_3, - - -,0.001611655,0.020951521,108123,5818,62048,1,13
11,VEGFAg1 ON,03.20.18,NP_180320_V1_GFP_1_VEGFg1_ON_S726_R1_001.fastqwtf-difflib_indels.csv,VEGFAg1_GFP_1, + + -,13.26116373,13.28049488,112119,1558,5173,686,687
11,VEGFAg1 ON,03.20.18,NP_180320_V1_GFP_2_VEGFg1_ON_S727_R1_001.fastqwtf-difflib_indels.csv,VEGFAg1_GFP_2, + + -,10.20968058,10.2292769,103887,2343,5103,521,522
11,VEGFAg1 ON,03.20.18,NP_180320_V1_GFP_3_VEGFg1_ON_S728_R1_001.fastqwtf-difflib_indels.csv,VEGFAg1_GFP_3, + + -,5.43100116,5.43100116,87394,2195,5174,281,281
11,VEGFAg1 ON,03.20.18,NP_180320_V1_d6_1_VEGFg1_ON_S732_R1_001.fastqwtf-difflib_indels.csv,VEGFAg1_OT6d4_1, + + 4,5.667393256,5.667393256,141526,3456,7799,442,442
