Experiment,Days,Ratio_dRNA,Sample,X_lab,WT,NHEJ,HDR,HDR_Percent_Total,Order
1,7,,NT-2.fcs, - - - -,98.887534,1.112466,0.030479,2.666707,
1,7,,NT-3.fcs, - - - -,97.600651,2.541684,0,0,
2,4,0,BFPg1-1(use).fcs, + 1 - -,74.675325,25.362872,0.038197,0.150376,
2,4,0,BFPg1-2.fcs, + 1 - -,76.163968,23.785425,0.101215,0.423731,
2,4,0,BFPg1-3.fcs, + 1 - -,73.905429,26.050788,0,0,
2,4,0,BFPg1_donor-1.fcs, + 1 + -,70.152004,29.203132,0.644864,2.160493,
2,4,0,BFPg1_donor-2.fcs, + 1 + -,75.259772,24.294904,0.494805,1.99601,
2,4,0,BFPg1_donor-3.fcs, + 1 + -,76.757311,22.57568,0.923551,3.930133,
2,4,1,BFPg1_donor_d3-1.fcs, + 1 + 3,76.379691,22.295806,1.324503,5.607475,
2,4,1,BFPg1_donor_d3-2.fcs, + 1 + 3,69.766115,27.723902,2.624073,8.646616,
2,4,1,BFPg1_donor_d3-3.fcs, + 1 + 3,78.26087,20.450886,1.395598,6.388204,
2,4,2,BFPg1_donor_2d3-1.fcs, + 1 + 3,72.688629,24.867163,2.603613,9.477756,
2,4,2,BFPg1_donor_2d3-2.fcs, + 1 + 3,79.801325,18.92936,1.324503,6.539508,
2,4,2,BFPg1_donor_2d3-3.fcs, + 1 + 3,72.216495,25.927835,1.85567,6.679035,
2,4,4,BFPg1_donor_4d3-1.fcs, + 1 + 3,68.103101,29.641563,2.255336,7.070706,
2,4,4,BFPg1_donor_4d3-2.fcs, + 1 + 3,73.461854,24.815422,1.722724,6.491501,
2,4,4,BFPg1_donor_4d3-3.fcs, + 1 + 3,68.76839,29.045818,2.227827,7.123656,
2,4,8,BFPg1_donor_8d3-1.fcs, + 1 + 3,66.007194,32.553957,1.438849,4.232804,
2,4,8,BFPg1_donor_8d3-2.fcs, + 1 + 3,63.844622,33.964143,2.041833,5.670817,
2,4,8,BFPg1_donor_8d3-3.fcs, + 1 + 3,66.378526,31.847134,1.77434,5.277401,
2,4,0,BFPg2-1.fcs, + 2 - -,72.947189,26.81431,0.238501,0.881613,
2,4,0,BFPg2-2.fcs, + 2 - -,73.737374,26.430976,0.10101,0.38071,
2,4,0,BFPg2-3.fcs, + 2 - -,72.24505,27.75495,0.07471,0.268455,
2,4,0,BFPg2_donor-1.fcs, + 2 + -,77.883881,19.174943,3.017571,13.597247,
2,4,0,BFPg2_donor-2.fcs, + 2 + -,80.609098,16.19121,3.08404,16,
2,4,0,BFPg2_donor-3.fcs, + 2 + -,75.505618,20.561798,4.007491,16.310977,
2,4,1,BFPg2_donor_d1-1.fcs, + 2 + 1,71.448041,22.793867,5.826235,20.357143,
2,4,1,BFPg2_donor_d1-2.fcs, + 2 + 1,77.651515,17.837466,4.614325,20.552147,
2,4,1,BFPg2_donor_d1-3.fcs, + 2 + 1,72.483221,22.40865,5.145414,18.673884,
2,4,2,BFPg2_donor_2d1-1.fcs, + 2 + 1,75.791944,19.90614,4.341025,17.903227,
2,4,2,BFPg2_donor_2d1-2.fcs, + 2 + 1,73.739193,21.361671,5.007205,18.989073,
2,4,2,BFPg2_donor_2d1-3.fcs, + 2 + 1,74.352234,21.028915,4.731506,18.367347,
2,4,4,BFPg2_donor_4d1-1.fcs, + 2 + 1,74.84375,19.5625,5.59375,22.236025,
2,4,4,BFPg2_donor_4d1-2.fcs, + 2 + 1,78.265449,17.310393,4.389045,20.226538,
2,4,4,BFPg2_donor_4d1-3.fcs, + 2 + 1,74.138544,20.781528,5.008881,19.421487,
2,4,8,BFPg2_donor_8d1-1.fcs, + 2 + 1,71.472603,22.465753,6.061644,21.2485,
2,4,8,BFPg2_donor_8d1-2.fcs, + 2 + 1,71.92197,23.185161,4.956828,17.613638,
2,4,8,BFPg2_donor_8d1-3.fcs, + 2 + 1,66.981462,27.177335,5.841203,17.690677,
2,4,,2xBFPg1-1.fcs,,75.344564,24.563553,0.153139,0.619577,
2,4,,2xBFPg1-2.fcs,,74.525316,25.379747,0.158228,0.619579,
2,4,,2xBFPg1-3.fcs,,76.785714,23.25228,0.113982,0.487806,
2,4,,2xBFPg1_donor-1.fcs,,60.812956,38.329628,0.952683,2.425221,
2,4,,2xBFPg1_donor-2.fcs,,65.292602,34.228929,0.515274,1.48305,
2,4,,2xBFPg1_donor-3.fcs,,60.356175,38.521099,1.16144,2.926829,
2,4,,2xBFPg1_donor_d3-1.fcs,,75.849434,21.685543,2.631579,10.821918,
2,4,,2xBFPg1_donor_d3-3.fcs,,79.296592,18.636693,2.030457,9.824562,
2,4,,2xBFPg1_donor_d3-2.fcs,,95.284431,4.453593,0.261976,5.555554,
2,4,,2xBFPg2-1.fcs,,71.617786,28.476821,0,0,
2,4,,2xBFPg2-2.fcs,,75.169461,24.687834,0.17838,0.717359,
2,4,,2xBFPg2-3.fcs,,74.316547,25.683453,0.107914,0.418411,
2,4,,2xBFPg2_donor-1.fcs,,76.680731,19.324895,4.16315,17.724549,
2,4,,2xBFPg2_donor-2.fcs,,75.473455,20.800993,3.725551,15.189873,
